Year,State,Population  < 72 months old,# of Children Tested,Total  #  of Children with Confirmed BLL ≥10 µg/dL,% of Children Tested with Confirmed BLLs ≥10 µg/dL,5-9 µg/dL,≥5 µg/dL,10-14 µg/dL,15-19 µg/dL,20-24 µg/dL,25-44 µg/dL,45-69 µg/dL,≥70 µg/dL
1999,North Carolina,641514,107096,1039,0.0097,,,628,235,100,72,4,0
2000,North Carolina,647879,116947,1261,0.0108,,,772,287,108,83,8,3
2001,North Carolina,651034,121940,995,0.0082,,,616,215,79,78,5,2
2002,North Carolina,651034,122501,921,0.0075,,,584,196,75,62,3,1
2003,North Carolina,690130,121985,898,0.0074,,,603,187,55,47,5,1
2004,North Carolina,701505,23866,221,0.0093,,,148,43,14,15,1,0
2005,North Carolina,718173,101859,381,0.0037,,,239,76,31,30,5,0
2006,North Carolina,743664,136384,503,0.0036881159080244,,,328,101,38,28,7,1
2007,North Carolina,764331,144691,465,0.00321374515346497,,,296,102,38,26,2,1
2008,North Carolina,781826,152827,383,0.00250610167051634,,,239,85,27,30,2,0
2009,North Carolina,793284,161932,313,0.00193291011041672,,,193,64,28,27,1,0
2010,North Carolina,758123,162828,245,0.0015,7230,7475,141,59,27,18,0,0
2011,North Carolina,753688,156454,199,0.00127193937078118,5598,5797,108,42,25,21,3,0
2012,North Carolina,745906,149821,193,0.00128820387180895,4268,4461,116,43,13,18,3,0
2013,North Carolina,738792,147148,166,0.00112811592407525,2751,2917,111,26,12,17,0,0
2014,North Carolina,734996,142649,199,0.00139503262471408,2419,2618,119,41,19,18,2,0
2015,North Carolina,733329,108988,197,0.00180753844324499,1924,2121,116,44,19,17,1,0
1997,Ohio,907805,99335,14048,0.1414,,,7707,3155,1576,1416,169,25
1998,Ohio,896793,100125,13296,0.1328,,,7491,3043,1483,1141,124,14
1999,Ohio,893169,128946,10609,0.0823,,,6166,2420,1108,825,82,8
2000,Ohio,909727,115814,8199,0.0708,,,4587,1896,915,724,67,10
2001,Ohio,907202,125226,7415,0.0592,,,4359,1598,736,626,80,16
2002,Ohio,898516,138919,6676,0.0481,,,3903,1467,627,587,76,16
2003,Ohio,895421,142103,5658,0.0398,,,3328,1195,530,526,75,4
2004,Ohio,893379,130005,4369,0.0336,,,2653,948,379,343,41,5
2005,Ohio,889585,153709,3926,0.0255,,,2363,792,368,354,46,3
2006,Ohio,891209,151098,3179,0.0210393254708864,,,1872,713,302,251,34,7
2007,Ohio,888331,169955,3040,0.0178870875388384,,,1800,638,301,247,39,15
2008,Ohio,888059,166554,2801,0.0168173685669899,,,1650,619,256,244,24,8
2009,Ohio,887483,145256,1868,0.0129,,,1057,424,184,160,33,10
2010,Ohio,866996,142290,1314,0.0092,11310,12624,723,324,126,121,16,4
2011,Ohio,856237,149886,1640,0.0109416488558054,9836,11477,963,346,161,140,27,3
2012,Ohio,845811,154556,1741,0.0112645253539085,9658,11399,995,374,185,159,24,4
2013,Ohio,840452,156966,1462,0.00931411888450384,8602,10064,870,305,132,132,19,4
2014,Ohio,838137,151713,1444,0.00951797142624855,7604,9048,821,299,156,140,21,7
2015,Ohio,837481,133441,1269,0.00950982049107552,6346,7615,722,269,115,135,25,3
1997,Oklahoma,275375,9183,342,0.0372,,,233,57,20,31,1,0
1998,Oklahoma,276764,7550,164,0.0217,,,107,28,16,10,3,0
1999,Oklahoma,278461,8630,127,0.0147,,,81,20,8,17,1,0
2000,Oklahoma,283208,9483,154,0.0162,,,103,36,9,6,0,0
2001,Oklahoma,283596,11842,145,0.0122,,,88,32,11,13,1,0
2002,Oklahoma,283596,12781,145,0.0113,,,80,39,11,12,2,1
2003,Oklahoma,292379,13069,152,0.0116,,,97,32,12,11,0,0
2004,Oklahoma,293972,14730,146,0.0099,,,91,31,7,15,2,0
2005,Oklahoma,297963,22501,225,0.01,,,143,39,22,20,1,0
2006,Oklahoma,305307,27021,211,0.0078087413493209,,,137,42,19,13,0,0
2007,Oklahoma,312372,21862,177,0.00809624046087265,,,101,39,18,19,0,0
2008,Oklahoma,316420,22839,129,0.00564823346212506,,,68,27,19,13,0,2
2009,Oklahoma,323421,38615,183,0.0047,,,109,43,14,14,3,0
2010,Oklahoma,316500,40597,147,0.0036,1639,1786,84,32,16,13,1,1
2011,Oklahoma,317618,40108,160,0.00398922897875309,1700,1860,87,35,19,18,1,0
2012,Oklahoma,317666,39856,181,0.00454134913161397,1402,1583,102,44,15,16,4,0
2013,Oklahoma,319283,41356,190,0.00459425477311015,1134,1324,118,38,18,12,4,0
2014,Oklahoma,320390,42086,211,0.00501354364678264,978,1189,142,40,18,11,0,0
2015,Oklahoma,322132,40646,164,0.00403483724221587,1049,1213,103,34,10,15,2,0
1997,Oregon,257876,4928,80,0.0162,,,51,11,10,7,1,0
1998,Oregon,261090,5766,100,0.0173,,,59,23,10,8,0,0
1999,Oregon,263482,6166,112,0.0182,,,71,26,9,5,1,0
2000,Oregon,268083,6887,108,0.0157,,,71,20,6,9,0,2
2001,Oregon,269102,8817,96,0.0109,,,57,21,10,7,0,1
2002,Oregon,269102,10917,94,0.0086,,,50,25,8,9,2,0
2003,Oregon,271653,11446,98,0.0086,,,56,23,10,7,0,2
2004,Oregon,271142,13147,70,0.0053,,,43,14,7,5,1,0
2005,Oregon,274128,12112,69,0.0057,,,45,15,5,4,0,0
2006,Oregon,282299,12314,68,0.00552216988793243,,,41,13,7,6,1,0
2007,Oregon,287031,13396,56,0.00418035220354795,,,39,9,5,3,0,0
2008,Oregon,291910,12615,55,0.00435988884419203,,,32,12,2,8,0,1
2009,Oregon,295456,14667,53,0.0036,,,30,13,6,4,0,0
2010,Oregon,284723,14921,48,0.0032,391,439,25,8,7,7,0,1
2011,Oregon,283300,13782,37,0.00268466118723154,315,352,24,6,5,2,0,0
2012,Oregon,280534,13671,31,0.0022675737272948,348,379,17,8,4,2,0,0
2013,Oregon,278438,12357,15,0.00121388689149171,344,359,8,6,0,1,0,0
2014,Oregon,278663,12041,14,0.00116269406862557,299,313,10,4,0,0,0,0
2015,Oregon,279371,12162,15,0.00123334978707135,267,282,10,2,2,1,0,0
1997,Pennsylvania,895951,35567,8602,0.2419,,,3658,2546,1258,1023,99,18
1998,Pennsylvania,877252,45020,9011,0.2002,,,4701,2296,1038,892,71,13
1999,Pennsylvania,864659,64994,6309,0.0971,,,3249,1634,710,649,61,6
2000,Pennsylvania,884030,75877,6936,0.0914,,,3693,1721,766,700,55,1
2001,Pennsylvania,884426,47148,4438,0.0941,,,2412,1007,446,477,85,11
2002,Pennsylvania,884426,54985,5411,0.0984,,,3111,1281,563,413,36,7
2003,Pennsylvania,864192,81664,6646,0.0814,,,4354,1314,499,425,49,5
2004,Pennsylvania,868167,123111,6756,0.0549,,,4247,1372,511,535,68,23
2005,Pennsylvania,870381,144868,6761,0.0467,,,3944,1401,645,651,94,26
2006,Pennsylvania,884629,146453,6597,0.0450451680743993,,,4156,1189,595,553,83,21
2007,Pennsylvania,889347,142946,4527,0.0316693000495434,,,2675,980,371,432,56,13
2008,Pennsylvania,894631,149095,3990,0.0267614610493183,,,2390,852,336,341,50,21
2009,Pennsylvania,896565,157104,3505,0.0223100613802671,,,2069,723,304,343,53,13
2010,Pennsylvania,877769,158487,3150,0.0198754463344812,17804,20955,1836,741,270,246,44,13
2011,Pennsylvania,875248,157642,2892,0.0183453653007746,14548,17440,1676,619,279,270,41,7
2012,Pennsylvania,870401,154623,2502,0.0161812920123339,12270,14772,1431,573,231,223,34,10
2013,Pennsylvania,865120,146930,2031,0.013822908513248,11330,13361,1193,445,150,201,36,6
2014,Pennsylvania,863080,140241,1808,0.0128920925781131,10175,11983,1071,393,142,180,19,3
2015,Pennsylvania,862150,19763,316,0.0159894749522209,1450,1766,204,61,20,29,2,0
1997,Rhode Island,77157,33749,2972,0.0881,,,1706,675,299,260,29,3
1998,Rhode Island,75134,34000,2526,0.0743,,,1558,521,215,196,23,13
1999,Rhode Island,75194,34230,2344,0.0685,,,1474,477,184,184,22,3
2000,Rhode Island,77648,33826,2057,0.0608,,,1274,425,163,171,22,2
2001,Rhode Island,77859,34751,2029,0.0584,,,1267,404,178,167,11,2
2002,Rhode Island,77859,34661,1774,0.0512,,,1175,352,121,114,11,1
2003,Rhode Island,76577,34356,1340,0.039,,,881,279,92,82,6,0
2004,Rhode Island,76185,31132,1213,0.039,,,803,251,83,65,10,1
2005,Rhode Island,74604,34618,1011,0.0292044598609209,,,665,196,74,69,4,3
2006,Rhode Island,73945,34524,812,0.0235198698937893,,,525,163,65,55,4,0
2007,Rhode Island,73262,33662,637,0.0189234148710966,,,411,121,53,45,7,0
2008,Rhode Island,72937,31835,511,0.0160515159368515,,,349,96,38,26,2,0
2009,Rhode Island,72697,29530,455,0.0154,,,319,89,36,11,0,0
2010,Rhode Island,69386,28282,373,0.0132,2347,2720,244,71,32,24,2,0
2011,Rhode Island,68344,28239,291,0.0103048970922828,1792,2083,201,53,13,20,3,1
2012,Rhode Island,67551,28325,252,0.00889673456549645,1582,1834,169,41,21,19,2,0
2013,Rhode Island,66847,27643,229,0.00828419532626867,1270,1499,137,57,15,18,1,1
2014,Rhode Island,66615,26854,217,0.00808073300868273,1157,1374,145,44,15,12,1,0
2015,Rhode Island,66500,26345,232,0.00880622491240501,1122,1354,149,54,16,11,2,0
1997,Tennessee,1928518,36546,1079,0.0295244343578815,,,739,202,76,56,5,1
1998,Tennessee,439093,9006,689,0.0765045508742332,,,455,141,55,34,4,0
1999,Tennessee,440669,9544,644,0.0674769505858421,,,447,123,34,34,6,0
2000,Tennessee,451483,12561,372,0.0296154767274857,,,239,91,28,13,1,0
2001,Tennessee,455140,37109,403,0.0108598992228508,,,246,85,35,30,5,2
2002,Tennessee,457351,57012,479,0.00840174034237862,,,311,97,21,46,2,2
2003,Tennessee,464924,48711,297,0.00609718542546034,,,176,71,30,17,3,0
2004,Tennessee,470610,47319,272,0.00574821932241321,,,177,53,26,15,1,0
2005,Tennessee,478082,56243,251,0.00446277763694525,,,139,60,32,18,1,1
2006,Tennessee,487274,61517,257,0.00417770678177476,,,154,50,21,28,1,3
2007,Tennessee,493904,9544,49,0.00513411592692137,,,30,11,5,3,0,0
2008,Tennessee,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2009,Tennessee,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2010,Tennessee,489413,72646,140,0.00192715355660766,3271,3411,89,27,16,7,1,0
2011,Tennessee,486120,69901,132,0.00188838504254818,2504,2636,75,30,11,14,1,1
2012,Tennessee,485608,71569,133,0.0018583465134725,2602,2735,79,24,14,15,1,0
2013,Tennessee,483511,84839,116,0.00136729574296623,1758,1874,77,16,11,10,2,0
2014,Tennessee,484242,84223,114,0.00135354953818023,1456,1570,60,27,10,13,4,0
2015,Tennessee,485742,83397,98,0.00117510219570249,1122,1220,60,17,7,13,0,1
1997,Texas,1928518,1286,50,0.0389,,,36,9,3,0,2,0
1998,Texas,1950129,877,24,0.0274,,,15,5,3,1,0,0
1999,Texas,1963136,960,61,0.0635,,,16,8,18,17,1,1
2000,Texas,1948297,12380,352,0.0284,,,160,92,45,50,4,1
2001,Texas,1960424,172397,1741,0.0101,,,1070,346,158,151,12,4
2002,Texas,1960424,209081,2199,0.0105,,,1391,445,171,169,20,3
2003,Texas,2113720,251816,1984,0.0079,,,1252,381,171,163,16,1
2004,Texas,2171911,297517,1674,0.0056,,,1026,325,177,128,16,2
2005,Texas,2233908,277468,1404,0.0051,,,805,287,168,135,7,2
2006,Texas,2340853,759233,3531,0.00465074621361295,,,2088,758,346,306,26,7
2007,Texas,2389871,747340,2474,0.00331040751188993,,,1423,525,260,236,27,3
2008,Texas,2440026,665554,1826,0.00274357898160815,,,1050,376,195,170,34,1
2009,Texas,2483090,685317,1845,0.00269218487665057,,,1090,422,154,148,24,7
2010,Texas,2315927,363338,945,0.00260088406503201,9834,10779,546,212,69,107,8,3
2011,Texas,2328028,213534,550,0.00257570226676762,5143,5693,312,110,60,59,9,0
2012,Texas,2334416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,Texas,2342070,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Houston only,2364850,184,2,0.0108695654198527,5,7,0,0,1,1,0,0
2015,Houston only,2389335,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Vermont,41322,6746,307,0.0455084494515268,,,188,73,23,22,1,0
1998,Vermont,39917,6257,240,0.0383570401150711,,,143,51,26,14,6,0
1999,Vermont,39042,6186,169,0.0273197542838668,,,95,35,25,14,0,0
2000,Vermont,41671,6433,177,0.027514378983367,,,104,47,11,14,1,0
2001,Vermont,40731,6475,145,0.0223938223938224,,,76,42,17,8,2,0
2002,Vermont,40102,6744,148,0.0219454329774614,,,91,30,14,12,1,0
2003,Vermont,39759,6867,137,0.0199504878403961,,,79,28,15,13,2,0
2004,Vermont,39804,8820,152,0.0172335600907029,,,82,43,16,10,1,0
2005,Vermont,39508,8924,120,0.0134468848050202,,,72,32,5,9,2,0
2006,Vermont,39372,9235,119,0.0128857606930157,,,71,28,6,7,0,7
2007,Vermont,39250,9367,93,0.00992847234010696,,,59,19,9,6,0,0
2008,Vermont,39243,9773,86,0.00879975408315659,,,53,24,6,3,0,0
2009,Vermont,39140,10507,62,0.0059,,,36,15,7,2,2,0
2010,Vermont,38743,10004,66,0.0066,987,1053,41,16,3,6,0,0
2011,Vermont,38364,10085,69,0.0068418444134295,987,1056,37,15,5,8,2,2
2012,Vermont,37831,10141,66,0.00650823395699263,877,943,42,11,5,7,1,0
2013,Vermont,37356,7640,39,0.00510471221059561,601,640,20,7,6,5,1,0
2014,Vermont,37099,8715,52,0.00596672389656305,543,595,29,9,7,6,1,0
2015,Vermont,36857,9859,42,0.00426006689667702,543,585,27,8,4,3,0,0
1997,Virginia,542983,12905,868,0.0673,,,415,226,115,103,6,3
1998,Virginia,542156,23863,942,0.0395,,,481,239,111,86,24,1
1999,Virginia,542731,24388,501,0.0205,,,266,143,58,29,5,0
2000,Virginia,557736,25786,617,0.0239,,,369,141,47,57,3,0
2001,Virginia,560065,39771,470,0.0118,,,238,112,56,52,12,0
2002,Virginia,560065,51459,560,0.0109,,,314,123,51,62,10,0
2003,Virginia,581570,51444,410,0.008,,,222,95,46,41,5,1
2004,Virginia,594940,67128,597,0.0089,,,392,101,56,39,9,0
2005,Virginia,606125,69630,529,0.0076,,,347,104,35,36,6,1
2006,Virginia,620605,82596,538,0.00651363262143445,,,349,97,41,43,8,0
2007,Virginia,626398,85046,466,0.005479387473315,,,281,95,46,42,1,1
2008,Virginia,631070,90978,413,0.00453955912962556,,,261,85,29,35,3,0
2009,Virginia,638237,102144,440,0.00430764397606254,,,299,70,29,34,8,0
2010,Virginia,611895,100489,338,0.00336355227045715,3757,4095,204,60,36,34,4,0
2011,Virginia,615148,98474,279,0.00283323531039059,3138,3417,164,47,34,29,5,0
2012,Virginia,616529,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2013,Virginia,616342,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Virginia,617592,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,Virginia,618830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,Washington,466597,3715,38,0.0102,,,21,4,6,7,0,0
1998,Washington,469215,3278,40,0.0122,,,25,8,2,5,0,0
1999,Washington,469925,3117,28,0.009,,,16,3,4,4,1,0
2000,Washington,475456,3617,40,0.0111,,,19,4,9,6,1,1
2001,Washington,477458,3491,32,0.0092,,,19,4,3,5,1,0
2002,Washington,477458,6606,42,0.0064,,,20,15,1,6,0,0
2003,Washington,479096,5581,31,0.0056,,,13,12,2,3,1,0
2004,Washington,483900,4716,31,0.0066,,,21,8,2,0,0,0
2005,Washington,487277,4831,36,0.0075,,,21,6,1,6,2,0
2006,Washington,505604,4844,30,0.00619322873658134,,,16,5,4,4,1,0
2007,Washington,515374,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A
2008,Washington,527089,12130,37,0.0030502884183079,,,24,7,2,4,0,0
2009,Washington,538111,15888,44,0.0027693856973201,,,21,9,9,4,1,0
2010,Washington,526207,18111,42,0.00231903255917132,505,547,26,8,5,3,0,0
2011,Washington,531361,16383,25,0.00152597203850746,369,394,16,4,3,2,0,0
2012,Washington,532425,17710,18,0.00101637491025031,443,461,8,5,1,4,0,0
2013,Washington,533822,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2014,Washington,536205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2015,Washington,538927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1997,West Virginia,126536,11637,263,0.0226,,,169,53,23,15,3,0
1998,West Virginia,124234,10483,237,0.0226,,,150,56,18,12,1,0
1999,West Virginia,122311,9571,167,0.0174,,,112,35,13,6,1,0
2000,West Virginia,122919,11753,173,0.0147,,,115,36,12,9,0,1
2001,West Virginia,122793,12194,147,0.0121,,,89,33,15,9,1,0
2002,West Virginia,122793,13649,149,0.0109,,,98,28,13,9,1,0
2003,West Virginia,122919,14661,160,0.0109,,,93,26,21,18,1,1
2004,West Virginia,124498,14933,157,0.0105,,,101,35,14,6,1,0
2005,West Virginia,125265,14135,118,0.0083,,,82,19,11,5,1,0
2006,West Virginia,126125,13272,114,0.00858951175406872,,,69,24,9,12,0,0
2007,West Virginia,127078,12217,102,0.00834902189671993,,,62,18,9,10,3,0
2008,West Virginia,127519,13205,100,0.00757288932800293,,,67,18,7,8,0,0
2009,West Virginia,127500,12623,101,0.008,,,70,13,12,5,1,0
2010,West Virginia,125045,10963,78,0.0071,734,812,47,15,8,8,0,0
2011,West Virginia,124600,11710,68,0.00580700254067779,586,654,40,17,5,6,0,0
2012,West Virginia,124290,11428,61,0.00533776683732867,535,596,32,14,8,6,1,0
2013,West Virginia,123897,11901,44,0.00369716831482947,459,503,28,11,3,2,0,0
2014,West Virginia,123913,1430,14,0.0097902100533247,62,76,6,4,3,1,0,0
2015,West Virginia,124195,9784,68,0.00695012276992202,318,386,44,16,3,4,0,1
1997,Wisconsin,405409,68464,7010,0.1024,,,3681,1794,781,677,64,13
1998,Wisconsin,403252,69590,5334,0.0766,,,2972,1299,532,480,44,7
1999,Wisconsin,401769,70686,4567,0.0646,,,2581,1132,417,397,36,4
2000,Wisconsin,414337,70382,3910,0.0556,,,2325,807,389,351,28,10
2001,Wisconsin,415154,79225,3659,0.0462,,,2159,823,344,295,33,5
2002,Wisconsin,415154,81608,3363,0.0412,,,2057,705,299,266,32,4
2003,Wisconsin,416392,80946,2817,0.0348,,,1667,653,242,233,20,2
2004,Wisconsin,419520,83665,2512,0.03,,,1564,554,195,180,17,2
2005,Wisconsin,420921,82126,2221,0.027,,,1377,472,192,160,16,4
2006,Wisconsin,426108,82002,1596,0.0194629399282944,,,973,334,149,125,11,4
2007,Wisconsin,429850,92771,1583,0.0170635227113962,,,958,355,125,133,11,1
2008,Wisconsin,433259,96429,1334,0.0138340126723051,,,801,280,126,107,20,0
2009,Wisconsin,436106,101316,1176,0.0116,10453,11629,712,255,97,101,9,2
2010,Wisconsin,431404,95048,982,0.0103,8190,9172,566,210,92,102,10,2
2011,Wisconsin,427077,89703,890,0.00992162991315126,6801,7691,514,182,92,92,9,1
2012,Wisconsin,422592,98628,908,0.0092063108459115,6121,7029,491,194,107,98,12,6
2013,Wisconsin,418059,94573,765,0.00808898918330669,5288,6053,454,139,76,83,11,2
2014,Wisconsin,414767,89148,683,0.00766141712665558,4255,4938,382,139,68,83,10,1
2015,Wisconsin,411908,84539,648,0.00766510143876076,3962,4610,343,147,52,88,13,5
1997,U.S. Totals,23345397,1611569,122641,0.0761,,,67793,28312,13473,11693,1170,200
1998,U.S. Totals,23143133,1761674,114571,0.065,,,66305,25636,11498,9896,1076,160
1999,U.S. Totals,23023683,1875500,94292,0.0503,,,55538,20782,9120,7903,839,110
2000,U.S. Totals,23304631,2216700,87782,0.0396,,,51639,18921,8512,7748,814,148
2001,U.S. Totals,23380551,2538008,76992,0.0303,,,45856,16502,7060,6647,800,127
2002,U.S. Totals,23380855,2652964,67914,0.0256,,,41160,14592,5958,5475,628,101
2003,U.S. Totals,23612242,3092229,70236,0.0227,,,43214,14301,5760,5496,601,864
2004,U.S. Totals,23903723,3250848,57204,0.0176,,,34996,11490,4612,4363,532,1211
2005,U.S. Totals,24204520,3529634,54051,0.0153,,,32594,10743,4628,4467,502,1117
2006,U.S. Totals,24740680,4168544,50117,0.0120226630689277,,,31250,10242,4353,4004,477,88
2007,U.S. Totals,25004927,3980954,37289,0.00936685036867857,,,22571,7700,3336,3207,407,68
2008,U.S. Totals,25279376,4310140,31172,0.007232247851789,,,18794,6501,2800,2665,342,70
2009,U.S. Totals,25485229,4375356,26569,0.0061,,,15960,5514,2334,2366,339,56
2010,U.S. Totals,24258220,4286833,25617,0.00597982760518789,256819,282434,15118,5426,2311,2393,318,51
2011,U.S. Totals,24452138,4070635,22152,0.0054419026710093,202666,224820,12996,4623,2141,2061,302,29
2012,U.S. Totals,24324502,2938161,17132,0.00606999127194285,137055,154156,10156,3564,1592,1594,201,49
2013,U.S. Totals,24209230,2418668,12706,0.00544093456119299,88677,101383,7618,2633,1074,1179,164,28
2014,U.S. Totals,24205138,2675145,13265,0.00532796373590827,87528,100775,7904,2804,1199,1191,138,29
2015,U.S. Totals,24219632,2415604,11681,0.0049918876029551,68274,79957,6947,2391,1013,1134,173,23
